
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WFFN        |95.3  MHz |FM |237 |ND  |-                   |C2 |-  |LIC    |COALING                  |AL |US |BLH    -20050603ABJ |17.5   kW |17.5   kW |256.0   |256.0   |54797      |N |33 |3  |15.00 |W |87  |32 |57.00 |TOWNSQUARE MEDIA TUSCALOOSA LICENSE, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |329.5  m|329.5  m|-         |-       |1036764 |194.4  m|1065513   |
|WRLD        |95.3  MHz |FM |237 |ND  |-                   |C3 |-  |LIC    |VALLEY                   |AL |US |BLH    -20080502ABD |25.    kW |25.    kW |77.0    |77.0    |52040      |N |32 |44 |7.00  |W |85  |8  |55.00 |PMB BROADCASTING, LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |276.   m|276.0  m|-         |-       |1209663 |99.    m|1244592   |
|WHMA-FM     |95.3  MHz |FM |237 |DA  |-                   |A  |-  |APP    |ALEXANDRIA               |AL |US |BPH    -20071214AAR |0.4    kW |0.4    kW |332.0   |332.0   |52320      |N |33 |37 |38.00 |W |85  |53 |25.00 |WILLIAMS COMMUNICATIONS, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |551.   m|551.0  m|92399     |0.      |1020310 |30.    m|1304000   |
|WTVY-FM     |95.5  MHz |FM |238 |ND  |-                   |C0 |-  |LIC    |DOTHAN                   |AL |US |BLH    -19880323KD  |100.   kW |100.   kW |323.0   |323.0   |73639      |N |31 |15 |16.00 |W |85  |15 |39.00 |GULF SOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |423.   m|423.0  m|-         |-       |-       |319.   m|110585    |
|WJDB-FM     |95.5  MHz |FM |238 |ND  |-                   |C3 |-  |LIC    |THOMASVILLE              |AL |US |BLH    -19940316KD  |9.6    kW |9.6    kW |160.0   |160.0   |25381      |N |31 |44 |25.00 |W |87  |45 |43.00 |GRIFFIN BROADCASTING CORPORATION                                            |   0.00 km |   0.00 mi |  0.00 deg |253.   m|253.0  m|-         |-       |-       |116.   m|195878    |
|WFMH-FM     |95.5  MHz |FM |238 |DA  |-                   |A  |-  |LIC    |HACKLEBURG               |AL |US |BLH    -20050527BDC |4.1    kW |4.1    kW |122.0   |122.0   |24578      |N |34 |18 |38.00 |W |87  |56 |13.00 |T & T COMMUNICATIONS INC                                                    |   0.00 km |   0.00 mi |  0.00 deg |340.   m|340.0  m|66977     |0.      |1036122 |80.    m|1097615   |
|WHMA-FM     |95.5  MHz |FM |238 |DA  |-                   |A  |-  |LIC    |HOBSON CITY              |AL |US |BLH    -20050527BCT |0.53   kW |0.53   kW |332.0   |332.0   |52320      |N |33 |37 |38.00 |W |85  |53 |25.00 |WILLIAMS COMMUNICATIONS, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |551.   m|551.0  m|67900     |0.      |1020310 |30.    m|1097637   |
|WBHJ        |95.7  MHz |FM |239 |DA  |-                   |C2 |-  |LIC    |MIDFIELD                 |AL |US |BLH    -20050527BFJ |12.    kW |12.    kW |306.0   |306.0   |730        |N |33 |27 |37.00 |W |86  |51 |7.00  |SM-WBHJ, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |487.   m|487.0  m|67902     |0.      |1035176 |200.   m|1070200   |
|WKXN        |95.7  MHz |FM |239 |ND  |-                   |A  |-  |LIC    |FORT DEPOSIT             |AL |US |BLH    -20111108AHB |2.1    kW |2.1    kW |171.3   |171.3   |73194      |N |31 |56 |52.00 |W |86  |42 |9.00  |AUTAUGAVILLE RADIO, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |283.2  m|283.2  m|-         |-       |1023502 |133.8  m|1483886   |
|WQSI        |95.9  MHz |FM |240 |ND  |-                   |A  |-  |LIC    |TUSKEGEE                 |AL |US |BLH    -19920803KD  |4.3    kW |4.3    kW |115.0   |115.0   |48682      |N |32 |28 |17.00 |W |85  |34 |28.00 |NEW WORLD COMMUNICATIONS, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |233.   m|233.0  m|-         |-       |-       |67.    m|175823    |
|WTWX-FM     |95.9  MHz |FM |240 |ND  |-                   |C3 |-  |LIC    |GUNTERSVILLE             |AL |US |BLH    -19950712KC  |10.5   kW |10.5   kW |157.0   |157.0   |25674      |N |34 |20 |14.00 |W |86  |16 |46.00 |GUNTERSVILLE BROADCASTING COMPANY, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |412.   m|412.0  m|-         |-       |-       |83.    m|211114    |
|WXFL        |96.1  MHz |FM |241 |ND  |-                   |C2 |-  |LIC    |FLORENCE                 |AL |US |BLH    -20000406AAT |20.5   kW |20.5   kW |238.0   |238.0   |4770       |N |34 |54 |17.00 |W |87  |24 |2.00  |BIG RIVER BROADCASTING CORPORATION                                          |   0.00 km |   0.00 mi |  0.00 deg |441.   m|441.0  m|-         |-       |1206657 |234.   m|495846    |
|WRKH        |96.1  MHz |FM |241 |ND  |-                   |C  |-  |LIC    |MOBILE                   |AL |US |BMLH   -20130123AEQ |77.    kW |77.    kW |535.0   |535.0   |53142      |N |30 |41 |20.00 |W |87  |49 |49.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |569.   m|569.0  m|-         |-       |1035771 |517.   m|1538565   |
|WQKS-FM     |96.1  MHz |FM |241 |ND  |-                   |A  |-  |LIC    |MONTGOMERY               |AL |US |BMLH   -20130308AEE |0.9    kW |0.9    kW |250.0   |250.0   |43628      |N |32 |22 |3.00  |W |86  |15 |42.00 |BLUEWATER BROADCASTING COMPANY LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |306.   m|306.0  m|-         |-       |1040403 |218.   m|1544502   |
|WLYB        |96.3  MHz |FM |242 |ND  |-                   |A  |-  |CP     |LIVINGSTON               |AL |US |BNPH   -20110630AGF |3.4    kW |3.4    kW |100.0   |100.0   |189541     |N |32 |37 |33.80 |W |88  |12 |3.30  |BLACKBELT BROADCASTING, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |151.   m|151.0  m|-         |-       |1212955 |94.    m|1442346   |
|WMJJ        |96.5  MHz |FM |243 |ND  |-                   |C0 |-  |LIC    |BIRMINGHAM               |AL |US |BMLH   -20030207AAL |100.   kW |100.   kW |313.0   |313.0   |2111       |N |33 |26 |38.00 |W |86  |52 |47.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |494.   m|494.0  m|-         |-       |1050337 |206.   m|624912    |
|WMXA        |96.7  MHz |FM |244 |ND  |-                   |A  |-  |LIC    |OPELIKA                  |AL |US |BLH    -19980112KC  |3.5    kW |3.5    kW |131.0   |131.0   |22877      |N |32 |33 |54.00 |W |85  |22 |13.00 |QANTUM OF AUBURN LICENSE COMPANY, LLC                                       |   0.00 km |   0.00 mi |  0.00 deg |316.   m|316.0  m|-         |-       |1014002 |130.   m|260293    |
|WKXK        |96.7  MHz |FM |244 |DA  |-                   |C2 |-  |LIC    |PINE HILL                |AL |US |BLH    -20060414AAT |41.    kW |41.    kW |163.0   |163.0   |76747      |N |32 |4  |24.00 |W |87  |35 |27.00 |AUTAUGAVILLE RADIO, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |218.   m|218.0  m|46056     |0.      |1023501 |130.   m|1127658   |
|WDJR        |96.9  MHz |FM |245 |ND  |-                   |C0 |-  |LIC    |ENTERPRISE               |AL |US |BLH    -20060912ABV |100.   kW |100.   kW |316.0   |316.0   |25575      |N |30 |55 |19.00 |W |85  |44 |41.00 |GULF SOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |353.9  m|353.9  m|-         |-       |1252294 |306.7  m|1144806   |
|WRSA-FM     |96.9  MHz |FM |245 |ND  |-                   |C0 |-  |LIC    |HOLLY POND               |AL |US |BMLH   -20090311AAB |100.   kW |100.   kW |308.0   |308.0   |47907      |N |34 |29 |23.00 |W |86  |37 |38.00 |NCA, INC.                                                                   |   0.00 km |   0.00 mi |  0.00 deg |533.   m|533.0  m|-         |-       |1036613 |137.   m|1299546   |
|WDJR        |96.9  MHz |FM |245 |ND  |-                   |C0 |-  |APP    |HARTFORD                 |AL |US |BPH    -20121119AOD |100.   kW |100.   kW |316.0   |316.0   |25575      |N |30 |55 |19.00 |W |85  |44 |41.00 |GULF SOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |353.9  m|353.9  m|-         |-       |1252294 |306.7  m|1526159   |
|WWMG        |97.1  MHz |FM |246 |ND  |-                   |C3 |-  |LIC    |MILLBROOK                |AL |US |BLH    -20090512AAA |5.4    kW |5.4    kW |214.0   |214.0   |8662       |N |32 |20 |6.00  |W |86  |17 |16.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |273.   m|273.0  m|-         |-       |1038437 |210.   m|1311860   |
|WEZZ-FM     |97.3  MHz |FM |247 |ND  |-                   |C2 |-  |LIC    |GARDENDALE               |AL |US |BLH    -20040722ADW |6.4    kW |6.4    kW |404.0   |404.0   |71417      |N |33 |29 |4.00  |W |86  |48 |25.00 |SM-WZNN, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |597.   m|597.0  m|-         |-       |1226663 |308.   m|1006596   |
|WABD        |97.5  MHz |FM |248 |ND  |-                   |C  |-  |LIC    |MOBILE                   |AL |US |BLH    -19890412KB  |100.   kW |100.   kW |473.0   |473.0   |70657      |N |30 |41 |20.00 |W |87  |49 |49.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |507.   m|507.0  m|-         |-       |-       |455.   m|127623    |
|WKGA        |97.5  MHz |FM |248 |DA  |-                   |A  |-  |LIC    |GOODWATER                |AL |US |BLH    -20050202ADU |5.1    kW |5.1    kW |108.0   |108.0   |64557      |N |33 |1  |42.00 |W |85  |59 |23.00 |LAKE BROADCASTING, INC.                                                     |   0.00 km |   0.00 mi |  0.00 deg |332.   m|332.0  m|64456     |0.      |1241039 |114.   m|1045010   |
|WVRV        |97.5  MHz |FM |248 |ND  |-                   |A  |-  |LIC    |PINE LEVEL               |AL |US |BLH    -20081016AAA |6.     kW |6.     kW |100.0   |100.0   |170945     |N |31 |58 |32.00 |W |85  |58 |27.00 |BACK DOOR BROADCASTING, LLC                                                 |   0.00 km |   0.00 mi |  0.00 deg |226.   m|226.0  m|-         |-       |1258508 |90.    m|1273468   |
|WKKR        |97.7  MHz |FM |249 |ND  |-                   |A  |-  |LIC    |AUBURN                   |AL |US |BLH    -19980112KG  |3.1    kW |3.1    kW |138.0   |138.0   |22875      |N |32 |33 |54.00 |W |85  |22 |13.00 |QANTUM OF AUBURN LICENSE COMPANY, LLC                                       |   0.00 km |   0.00 mi |  0.00 deg |323.   m|323.0  m|-         |-       |1014002 |137.   m|260297    |
|WKXM-FM     |97.7  MHz |FM |249 |DA  |-                   |A  |-  |LIC    |WINFIELD                 |AL |US |BLH    -20041104AME |3.9    kW |3.9    kW |123.0   |123.0   |435        |N |34 |1  |53.00 |W |87  |48 |6.00  |AD-MEDIA MANAGEMENT CORP.                                                   |   0.00 km |   0.00 mi |  0.00 deg |306.   m|306.0  m|46080     |0.      |-       |50.    m|1025784   |
|WZZN        |97.7  MHz |FM |249 |ND  |-                   |A  |-  |LIC    |UNION GROVE              |AL |US |BLH    -20091222ARG |0.95   kW |0.95   kW |251.0   |251.0   |5885       |N |34 |26 |39.00 |W |86  |32 |5.00  |GREAT SOUTH WIRELESS, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |509.   m|509.0  m|-         |-       |1264497 |149.   m|1350930   |
|WHPH        |97.7  MHz |FM |249 |ND  |-                   |C3 |-  |LIC    |JEMISON                  |AL |US |BLH    -20100519ADS |13.    kW |13.    kW |140.0   |140.0   |61231      |N |32 |58 |55.00 |W |86  |51 |2.00  |GREAT SOUTH WIRELESS, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |301.   m|301.0  m|-         |-       |1264500 |144.   m|1370312   |
|WVOK-FM     |97.9  MHz |FM |250 |ND  |-                   |A  |-  |LIC    |OXFORD                   |AL |US |BLH    -20010406AAJ |0.51   kW |0.51   kW |338.0   |338.0   |73609      |N |33 |37 |20.00 |W |85  |52 |19.00 |WOODARD BROADCASTING CO., INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |564.   m|564.0  m|-         |-       |1037002 |58.    m|559898    |
|WYDK        |97.9  MHz |FM |250 |ND  |-                   |A  |-  |LIC    |EUFAULA                  |AL |US |BLH    -20041103AHA |6.     kW |6.     kW |100.0   |100.0   |15939      |N |31 |56 |4.00  |W |85  |12 |27.00 |SOUND IDEAS, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |185.   m|185.0  m|-         |-       |-       |36.    m|1008683   |
|WJWZ        |97.9  MHz |FM |250 |ND  |-                   |A  |-  |LIC    |WETUMPKA                 |AL |US |BLH    -20120507AAU |3.7    kW |3.7    kW |92.3    |92.3    |70356      |N |32 |26 |50.00 |W |86  |12 |37.00 |BLUEWATER BROADCASTING COMPANY LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |164.   m|164.0  m|-         |-       |1236547 |115.   m|1505979   |
|WTXT        |98.1  MHz |FM |251 |ND  |-                   |C1 |-  |LIC    |FAYETTE                  |AL |US |BLH    -20120823AAB |100.   kW |100.   kW |274.0   |274.0   |68418      |N |33 |19 |20.90 |W |87  |46 |25.60 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |366.   m|366.0  m|-         |-       |1043853 |247.   m|1512705   |
|WBFA        |98.3  MHz |FM |252 |ND  |-                   |A  |-  |LIC    |FORT MITCHELL            |AL |US |BLH    -19930601KE  |6.     kW |6.     kW |100.0   |100.0   |43093      |N |32 |21 |48.00 |W |85  |3  |6.00  |ALOHA STATION TRUST, LLC                                                    |   0.00 km |   0.00 mi |  0.00 deg |197.   m|197.0  m|-         |-       |-       |66.    m|186882    |
|WFXO        |98.3  MHz |FM |252 |DA  |-                   |A  |-  |LIC    |ASHLAND                  |AL |US |BLH    -20050527BCZ |1.7    kW |1.7    kW |188.0   |188.0   |704        |N |33 |18 |30.00 |W |85  |50 |58.00 |WILLIAMS COMMUNICATIONS, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |521.   m|521.0  m|67901     |0.      |1036686 |59.    m|1093498   |
|WKEA-FM     |98.3  MHz |FM |252 |DA  |-                   |C3 |-  |LIC    |SCOTTSBORO               |AL |US |BLH    -20070306ABV |11.    kW |11.    kW |150.0   |150.0   |33781      |N |34 |32 |0.00  |W |85  |55 |20.00 |KEA RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |505.   m|505.0  m|76535     |0.      |1255698 |127.   m|1175560   |
|WLVM        |98.3  MHz |FM |252 |ND  |-                   |C2 |-  |CP     |CHICKASAW                |AL |US |BPH    -20120809ABJ |40.    kW |40.    kW |167.0   |167.0   |68843      |N |30 |35 |5.00  |W |88  |15 |57.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |197.   m|197.0  m|-         |-       |1025128 |146.   m|1509140   |
|WLVM        |98.3  MHz |FM |252 |DA  |-                   |C2 |-  |LIC    |CHICKASAW                |AL |US |BMLED  -20121002ABP |40.    kW |40.    kW |167.0   |167.0   |68843      |N |30 |35 |5.00  |W |88  |15 |57.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |197.   m|197.0  m|13989     |0.      |-       |146.   m|1514592   |
|WINL        |98.5  MHz |FM |253 |ND  |-                   |C1 |-  |LIC    |LINDEN                   |AL |US |BLH    -20130926BDF |100.   kW |100.   kW |247.0   |247.0   |54538      |N |32 |7  |28.00 |W |87  |44 |0.00  |WESTBURG BROADCASTING ALABAMA, LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |317.   m|317.0  m|-         |-       |1043852 |194.   m|1574089   |
|WBHK        |98.7  MHz |FM |254 |ND  |-                   |C1 |-  |LIC    |WARRIOR                  |AL |US |BLH    -20030122AAG |39.    kW |39.    kW |408.0   |408.0   |65227      |N |33 |29 |4.00  |W |86  |48 |25.00 |SM-WBHK, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |601.   m|601.0  m|-         |-       |1226663 |312.   m|621879    |
|WBAM-FM     |98.9  MHz |FM |255 |ND  |-                   |C1 |-  |LIC    |MONTGOMERY               |AL |US |BLH    -20020625AAN |100.   kW |100.   kW |299.0   |299.0   |16379      |N |31 |58 |28.00 |W |86  |11 |31.00 |BLUEWATER BROADCASTING COMPANY LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |425.8  m|425.8  m|-         |-       |1231498 |306.9  m|604696    |
|WAHR        |99.1  MHz |FM |256 |ND  |-                   |C0 |-  |LIC    |HUNTSVILLE               |AL |US |BLH    -19891219KC  |100.   kW |100.   kW |300.0   |300.0   |70501      |N |34 |47 |53.00 |W |86  |38 |24.00 |SOUTHERN STONE COMMUNICATIONS, LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |538.   m|538.0  m|-         |-       |1037694 |178.   m|138030    |
|WDGM        |99.1  MHz |FM |256 |ND  |-                   |C3 |-  |LIC    |GREENSBORO               |AL |US |BLH    -20120514AEK |6.4    kW |6.4    kW |197.3   |197.3   |86803      |N |32 |52 |40.00 |W |87  |36 |53.00 |TOWNSQUARE MEDIA TUSCALOOSA LICENSE, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |274.3  m|274.3  m|-         |-       |1228025 |146.3  m|1499744   |
|WMFC        |99.3  MHz |FM |257 |ND  |-                   |C2 |-  |LIC    |MONROEVILLE              |AL |US |BLH    -19940613KJ  |30.    kW |30.    kW |94.0    |94.0    |43534      |N |31 |30 |51.00 |W |87  |17 |55.00 |MONROE BROADCASTING COMPANY, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |195.   m|195.0  m|-         |-       |-       |88.    m|200064    |
|WZRR        |99.5  MHz |FM |258 |ND  |-                   |C0 |-  |LIC    |BIRMINGHAM               |AL |US |BLH    -19980128KB  |100.   kW |100.   kW |309.0   |309.0   |16899      |N |33 |27 |45.00 |W |86  |50 |59.00 |RADIO LICENSE HOLDING CBC, LLC                                              |   0.00 km |   0.00 mi |  0.00 deg |491.   m|491.0  m|-         |-       |1017640 |204.   m|260992    |
|WOOF-FM     |99.7  MHz |FM |259 |ND  |-                   |C1 |-  |LIC    |DOTHAN                   |AL |US |BLH    -19850506KS  |100.   kW |100.   kW |299.0   |299.0   |73674      |N |31 |15 |7.00  |W |85  |17 |12.00 |WOOF, INC.                                                                  |   0.00 km |   0.00 mi |  0.00 deg |380.   m|380.0  m|-         |-       |-       |296.   m|78129     |
|WQNR        |99.9  MHz |FM |260 |ND  |-                   |A  |-  |LIC    |TALLASSEE                |AL |US |BLH    -20080624AAG |2.85   kW |2.85   kW |146.0   |146.0   |68310      |N |32 |26 |32.00 |W |85  |47 |28.00 |TIGER COMMUNICATIONS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |235.   m|235.0  m|-         |-       |1262022 |119.   m|1247722   |
|WRJL-FM     |99.9  MHz |FM |260 |ND  |-                   |C3 |-  |LIC    |EVA                      |AL |US |BLH    -20090121ACG |25.    kW |25.    kW |97.0    |97.0    |57436      |N |34 |18 |43.00 |W |86  |43 |54.00 |ROJO, INC.                                                                  |   0.00 km |   0.00 mi |  0.00 deg |362.   m|362.0  m|-         |-       |-       |45.    m|1290562   |
|WMXC        |99.9  MHz |FM |260 |ND  |-                   |C  |-  |LIC    |MOBILE                   |AL |US |BMLH   -20130123AEM |100.   kW |100.   kW |535.0   |535.0   |8696       |N |30 |41 |20.00 |W |87  |49 |49.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |569.   m|569.0  m|-         |-       |1035771 |517.   m|1538572   |
|WGSY        |100.1 MHz |FM |261 |ND  |-                   |A  |-  |LIC    |PHENIX CITY              |AL |US |BMLH   -19900403KA  |6.     kW |6.     kW |100.0   |100.0   |66668      |N |32 |30 |42.00 |W |85  |0  |41.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |225.   m|225.0  m|-         |-       |-       |88.    m|147077    |
|WDXX        |100.1 MHz |FM |261 |ND  |-                   |C2 |-  |CP     |SELMA                    |AL |US |BPH    -20120727AHA |50.    kW |50.    kW |150.0   |150.0   |27455      |N |32 |22 |54.00 |W |86  |56 |37.00 |BROADSOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |199.3  m|199.3  m|-         |-       |1274192 |161.2  m|1504231   |
|NEW         |100.1 MHz |FM |261 |DA  |-                   |C3 |-  |CP     |ANNISTON                 |AL |US |BNPED  -20100226ABT |25.    kW |25.    kW |78.2    |78.2    |184996     |N |33 |40 |41.80 |W |85  |51 |8.90  |ANNISTON SEVENTH-DAY ADVENTIST CHURCH                                       |   0.00 km |   0.00 mi |  0.00 deg |316.4  m|316.4  m|109780    |0.      |1228824 |67.4   m|1504933   |
|WDXX        |100.1 MHz |FM |261 |ND  |-                   |C2 |-  |LIC    |SELMA                    |AL |US |BLH    -20120727AGA |41.    kW |41.    kW |148.5   |148.5   |27455      |N |32 |22 |54.00 |W |86  |56 |37.00 |BROADSOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |199.3  m|199.3  m|-         |-       |1274192 |161.2  m|1509580   |
|WAOQ        |100.3 MHz |FM |262 |ND  |-                   |A  |-  |LIC    |BRANTLEY                 |AL |US |BLH    -19990603KF  |6.     kW |6.     kW |100.0   |100.0   |825        |N |31 |42 |26.00 |W |86  |13 |12.00 |ALATRON CORPORATION, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |203.   m|203.0  m|-         |-       |1056759 |87.    m|315853    |
|WQRV        |100.3 MHz |FM |262 |ND  |-                   |C2 |-  |LIC    |MERIDIANVILLE            |AL |US |BLH    -20060413ACK |8.5    kW |8.5    kW |299.0   |299.0   |19456      |N |34 |47 |36.00 |W |86  |37 |51.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |532.   m|532.0  m|-         |-       |1057232 |172.   m|1125742   |
|WAOQ        |100.3 MHz |FM |262 |DA  |-                   |A  |-  |CP     |BRANTLEY                 |AL |US |BPH    -20121219ACP |6.     kW |6.     kW |100.0   |100.0   |825        |N |31 |42 |26.00 |W |86  |13 |12.00 |ALATRON CORPORATION, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |203.   m|203.0  m|111892    |0.      |1056759 |87.    m|1543724   |
|WJQX        |100.5 MHz |FM |263 |ND  |-                   |C1 |-  |LIC    |HELENA                   |AL |US |BLH    -20071210ADE |69.    kW |69.    kW |309.1   |309.1   |70914      |N |33 |5  |42.00 |W |87  |15 |16.00 |RADIO LICENSE HOLDING CBC, LLC                                              |   0.00 km |   0.00 mi |  0.00 deg |430.4  m|430.4  m|-         |-       |1037022 |275.   m|1221766   |
|WJRL-FM     |100.5 MHz |FM |263 |DA  |-                   |C3 |-  |LIC    |SLOCOMB                  |AL |US |BLH    -20080814AAI |16.5   kW |16.5   kW |124.3   |124.3   |60591      |N |31 |11 |0.00  |W |85  |24 |23.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |205.6  m|205.6  m|83196     |0.      |1058063 |120.   m|1261641   |
|WJRL-FM     |100.5 MHz |FM |263 |ND  |-                   |C3 |-  |APP    |SLOCOMB                  |AL |US |BPH    -20130508ABB |10.    kW |10.    kW |132.3   |132.3   |60591      |N |31 |11 |33.00 |W |85  |24 |42.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |211.5  m|211.5  m|-         |-       |-       |127.1  m|1553605   |
|WJRL-FM     |100.5 MHz |FM |263 |ND  |-                   |C3 |-  |APP    |SLOCOMB                  |AL |US |BSTA   -20131029AGS |1.2    kW |0.     kW |84.4    |0.0     |60591      |N |31 |15 |48.00 |W |85  |18 |24.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |166.4  m|0.0    m|-         |-       |1020297 |85.3   m|1583068   |
|WCKF        |100.7 MHz |FM |264 |ND  |-                   |A  |-  |LIC    |ASHLAND                  |AL |US |BLH    -20090630ABP |1.7    kW |1.7    kW |190.0   |190.0   |165962     |N |33 |19 |14.00 |W |85  |51 |39.00 |WCKF, L.L.C.                                                                |   0.00 km |   0.00 mi |  0.00 deg |529.   m|529.0  m|-         |-       |1266930 |70.    m|1320386   |
|WALX        |100.9 MHz |FM |265 |ND  |-                   |C2 |-  |LIC    |ORRVILLE                 |AL |US |BLH    -20090130AAJ |50.    kW |50.    kW |150.0   |150.0   |950        |N |32 |21 |40.00 |W |86  |52 |28.00 |SCOTT COMMUNICATIONS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |202.   m|202.0  m|-         |-       |1037364 |134.   m|1290723   |
|WVVL        |101.1 MHz |FM |266 |ND  |-                   |A  |-  |LIC    |ELBA                     |AL |US |BLH    -19861010KA  |0.64   kW |0.64   kW |208.0   |208.0   |19141      |N |31 |24 |41.00 |W |85  |57 |32.00 |BOLL WEEVIL COMMUNICATIONS, LLC                                             |   0.00 km |   0.00 mi |  0.00 deg |305.   m|305.0  m|-         |-       |-       |183.   m|93245     |
|WPPG        |101.1 MHz |FM |266 |ND  |-                   |A  |-  |LIC    |REPTON                   |AL |US |BLH    -20001218AAI |3.1    kW |3.1    kW |140.0   |140.0   |40901      |N |31 |26 |45.00 |W |87  |16 |59.00 |WOLFF BROADCASTING CORPORATION                                              |   0.00 km |   0.00 mi |  0.00 deg |240.   m|240.0  m|-         |-       |1209357 |118.   m|542245    |
|WYDE-FM     |101.1 MHz |FM |266 |ND  |-                   |C0 |-  |LIC    |CULLMAN                  |AL |US |BLH    -20030225AAB |100.   kW |100.   kW |410.0   |410.0   |70452      |N |34 |4  |56.00 |W |86  |54 |15.00 |KIMTRON, INC.                                                               |   0.00 km |   0.00 mi |  0.00 deg |615.   m|615.0  m|-         |-       |1223031 |395.   m|628532    |
|WAGF-FM     |101.3 MHz |FM |267 |ND  |-                   |A  |-  |LIC    |DOTHAN                   |AL |US |BMLH   -20070307ACK |1.15   kW |1.15   kW |163.0   |163.0   |30279      |N |31 |12 |4.00  |W |85  |20 |4.00  |WILSON BROADCASTING CO., INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |242.   m|242.0  m|-         |-       |1061787 |147.   m|1175222   |
|WAGH        |101.3 MHz |FM |267 |ND  |-                   |C3 |-  |LIC    |SMITHS                   |AL |US |BLH    -20110405AAO |18.    kW |18.    kW |108.0   |108.0   |60656      |N |32 |25 |35.00 |W |85  |8  |20.00 |CC LICENSES, LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |221.   m|221.0  m|-         |-       |1057443 |105.   m|1422699   |
|WQEM        |101.5 MHz |FM |268 |ND  |-                   |A  |-  |LIC    |COLUMBIANA               |AL |US |BLED   -20051201BVO |1.8    kW |1.8    kW |185.0   |185.0   |41641      |N |33 |13 |45.00 |W |86  |42 |56.00 |GLEN IRIS BAPTIST SCHOOL                                                    |   0.00 km |   0.00 mi |  0.00 deg |365.   m|365.0  m|-         |-       |1204584 |102.   m|1102133   |
